,u,i,ts,label,idx
172,2,421,1090594864.0,1,173
173,2,295,1090595884.0,1,174
174,1026,7,1090598456.0,1,175
175,1026,7,1090601025.0,1,176
176,4,709,1090601114.0,1,177
177,782,4,1090602673.0,1,178
178,87,7834,1090611109.0,1,179
179,87,91,1090611213.0,1,180
180,4,91,1090613253.0,1,181
181,740,4,1090613375.0,1,182
182,740,4,1090613434.0,1,183
183,4,17,1090613855.0,1,184
184,87,7834,1090614167.0,1,185
185,4,137,1090614718.0,1,186
186,87,91,1090615671.0,1,187
187,87,7834,1090615765.0,1,188
188,4,220,1090615827.0,1,189
189,740,4,1090618187.0,1,190
190,4,782,1090619710.0,1,191
191,137,4,1090620227.0,1,192
192,87,91,1090621918.0,1,193
193,2570,23,1090622706.0,1,194
194,23,2566,1090625503.0,1,195
195,23,2561,1090625562.0,1,196
196,2566,23,1090625707.0,1,197
197,709,4,1090628017.0,1,198
198,87,7315,1090630717.0,1,199
199,7315,87,1090631231.0,1,200
200,17,4,1090632132.0,1,201
201,4,782,1090632195.0,1,202
202,4,782,1090632258.0,1,203
203,87,7833,1090633102.0,1,204
204,87,7262,1090639259.0,1,205
205,87,91,1090641443.0,1,206
206,87,91,1090674693.0,1,207
207,87,7818,1090674767.0,1,208
208,87,91,1090697459.0,1,209
209,87,7262,1090697644.0,1,210
210,87,7811,1090697735.0,1,211
211,87,7293,1090697804.0,1,212
212,87,7818,1090699410.0,1,213
213,87,7815,1090700113.0,1,214
214,7815,87,1090700222.0,1,215
215,87,91,1090700912.0,1,216
216,87,7811,1090700999.0,1,217
217,87,7293,1090701045.0,1,218
218,7293,87,1090701234.0,1,219
219,7262,87,1090701483.0,1,220
220,2570,23,1090702707.0,1,221
221,7,980,1090703619.0,1,222
222,87,91,1090703951.0,1,223
223,23,2570,1090706716.0,1,224
224,1026,7,1090744449.0,1,225
225,2,342,1090749792.0,1,226
226,342,2,1090750129.0,1,227
227,1026,7,1090751099.0,1,228
228,1026,7,1090753805.0,1,229
229,7,1026,1090754483.0,1,230
230,87,91,1090758710.0,1,231
231,87,91,1090758810.0,1,232
232,87,7850,1090759019.0,1,233
233,1026,7,1090760193.0,1,234
234,87,7287,1090760349.0,1,235
235,1026,7,1090762593.0,1,236
236,1026,7,1090763568.0,1,237
237,137,4,1090765319.0,1,238
238,4,91,1090765853.0,1,239
239,4,608,1090766062.0,1,240
240,965,7,1090768432.0,1,241
241,87,91,1090768445.0,1,242
242,87,7818,1090768651.0,1,243
243,87,96,1090769500.0,1,244
244,87,91,1090771097.0,1,245
245,87,7832,1090771190.0,1,246
246,87,4636,1090771379.0,1,247
247,87,7834,1090771881.0,1,248
248,7267,87,1090771957.0,1,249
249,87,91,1090773068.0,1,250
250,87,91,1090773126.0,1,251
251,87,7306,1090773719.0,1,252
252,87,91,1090774947.0,1,253
253,87,7818,1090775006.0,1,254
254,87,91,1090779212.0,1,255
255,87,91,1090783254.0,1,256
256,87,7811,1090783384.0,1,257
257,151,4,1090783392.0,1,258
258,87,7293,1090783431.0,1,259
259,7818,87,1090783495.0,1,260
260,4,698,1090784278.0,1,261
261,87,7818,1090785919.0,1,262
262,698,4,1090786748.0,1,263
263,698,4,1090787399.0,1,264
264,274,2,1090790982.0,1,265
265,87,91,1090791484.0,1,266
266,87,91,1090792296.0,1,267
267,2,394,1090806045.0,1,268
268,7,1026,1090826173.0,1,269
269,1026,7,1090831726.0,1,270
270,7,1026,1090833299.0,1,271
271,2,394,1090835710.0,1,272
272,2,394,1090835782.0,1,273
273,2,394,1090835832.0,1,274
274,1026,7,1090837384.0,1,275
275,1026,7,1090837521.0,1,276
276,1026,7,1090837920.0,1,277
277,1026,7,1090840806.0,1,278
278,87,91,1090844731.0,1,279
279,4,91,1090844985.0,1,280
280,137,7,1090845534.0,1,281
281,1026,7,1090846413.0,1,282
282,1050,8,1090846558.0,1,283
283,8,1108,1090850018.0,1,284
284,770,4,1090850977.0,1,285
285,8,1108,1090851318.0,1,286
286,1108,8,1090851377.0,1,287
287,4,698,1090852260.0,1,288
288,746,4,1090854866.0,1,289
289,1210,8,1090857045.0,1,290
290,2,394,1090857430.0,1,291
291,7,1026,1090858270.0,1,292
292,770,4,1090859706.0,1,293
293,1026,7,1090859752.0,1,294
294,87,91,1090861907.0,1,295
295,1116,8,1090862333.0,1,296
296,1026,7,1090862611.0,1,297
297,7,1026,1090866483.0,1,298
298,7,1026,1090867275.0,1,299
299,1210,8,1090868089.0,1,300
300,1210,8,1090868360.0,1,301
301,1210,8,1090869719.0,1,302
302,87,7815,1090870609.0,1,303
303,87,7254,1090870693.0,1,304
304,4,772,1090871119.0,1,305
305,87,91,1090871201.0,1,306
306,87,7815,1090871279.0,1,307
307,766,4,1090873003.0,1,308
308,766,4,1090873142.0,1,309
309,87,7262,1090874114.0,1,310
310,709,4,1090875689.0,1,311
311,782,4,1090877649.0,1,312
312,87,91,1090880126.0,1,313
313,709,4,1090881426.0,1,314
314,2,409,1090884299.0,1,315
315,2,409,1090884350.0,1,316
316,2,409,1090884493.0,1,317
317,2,409,1090884630.0,1,318
318,2,394,1090884849.0,1,319
319,7262,87,1090886618.0,1,320
320,740,4,1090889105.0,1,321
321,151,4,1090892256.0,1,322
322,87,7262,1090898919.0,1,323
323,1108,8,1090911894.0,1,324
324,8,1075,1090912380.0,1,325
325,7,1026,1090912574.0,1,326
326,7,991,1090912608.0,1,327
327,8,1146,1090923031.0,1,328
328,8,1210,1090923094.0,1,329
329,1026,7,1090924168.0,1,330
330,642,4,1090924318.0,1,331
331,7,1026,1090924337.0,1,332
332,7,1026,1090925145.0,1,333
333,1073,8,1090930562.0,1,334
334,8,179,1090932826.0,1,335
335,1210,8,1090933149.0,1,336
336,7,1026,1090934373.0,1,337
337,8,1075,1090934467.0,1,338
338,8,179,1090934523.0,1,339
339,2,321,1090937618.0,1,340
340,7,1026,1090938920.0,1,341
341,7,1026,1090941297.0,1,342
342,7,1026,1090941551.0,1,343
343,1026,7,1090941564.0,1,344
344,7,96,1090941696.0,1,345
345,1026,7,1090945236.0,1,346
346,8,1210,1090945549.0,1,347
347,1026,7,1090945989.0,1,348
348,8,1210,1090946144.0,1,349
349,8,1210,1090947166.0,1,350
350,87,93,1090948040.0,1,351
351,8,1210,1090948750.0,1,352
352,7,1026,1090949989.0,1,353
353,770,4,1090950131.0,1,354
354,4,137,1090967266.0,1,355
355,4,137,1090969228.0,1,356
356,4,91,1090970261.0,1,357
357,87,91,1090972568.0,1,358
358,87,7844,1090972755.0,1,359
359,4,137,1090976288.0,1,360
360,4,91,1090980551.0,1,361
361,4,91,1090980571.0,1,362
362,7,1026,1091006203.0,1,363
363,7,1026,1091006698.0,1,364
364,87,7315,1091006757.0,1,365
365,2,409,1091008072.0,1,366
366,2,409,1091008593.0,1,367
367,8,1209,1091009498.0,1,368
368,8,1209,1091010180.0,1,369
369,1026,7,1091013068.0,1,370
370,1026,7,1091013255.0,1,371
371,7,1026,1091013802.0,1,372
372,7,1026,1091013821.0,1,373
373,87,7849,1091014141.0,1,374
374,87,7814,1091014416.0,1,375
375,87,7832,1091014548.0,1,376
376,7,1026,1091015438.0,1,377
377,7,1026,1091015467.0,1,378
378,7,1026,1091015499.0,1,379
379,151,4,1091015525.0,1,380
380,7,1026,1091016675.0,1,381
381,7,1026,1091017307.0,1,382
382,7,1026,1091017854.0,1,383
383,87,7818,1091018247.0,1,384
384,87,7818,1091018442.0,1,385
385,87,93,1091018573.0,1,386
386,7818,87,1091018950.0,1,387
387,4,740,1091019632.0,1,388
388,4,137,1091019742.0,1,389
389,740,4,1091019777.0,1,390
390,4,17,1091019873.0,1,391
391,4,709,1091019940.0,1,392
392,4,782,1091020035.0,1,393
393,7,1026,1091021635.0,1,394
394,7,1026,1091024916.0,1,395
395,7,991,1091024953.0,1,396
396,4,137,1091026890.0,1,397
397,4,17,1091026961.0,1,398
398,4,709,1091027018.0,1,399
399,4,740,1091027072.0,1,400
400,1026,7,1091035124.0,1,401
401,7,1026,1091035877.0,1,402
402,87,93,1091036956.0,1,403
403,87,2212,1091037004.0,1,404
404,1026,7,1091037770.0,1,405
405,87,7818,1091038293.0,1,406
406,7,1026,1091038820.0,1,407
407,7818,87,1091042217.0,1,408
408,2,394,1091043854.0,1,409
409,2,394,1091044131.0,1,410
410,164,4,1091049412.0,1,411
411,2,7,1091049577.0,1,412
412,2,46,1091049694.0,1,413
413,2,91,1091050792.0,1,414
414,2,257,1091050951.0,1,415
415,2,426,1091050988.0,1,416
416,358,2,1091051407.0,1,417
417,87,7304,1091052752.0,1,418
418,87,7254,1091052802.0,1,419
419,2,419,1091052861.0,1,420
420,2,419,1091053369.0,1,421
421,87,7843,1091053469.0,1,422
422,4,91,1091055114.0,1,423
423,4,709,1091055174.0,1,424
424,343,2,1091055991.0,1,425
425,87,7801,1091057655.0,1,426
426,87,7254,1091060516.0,1,427
427,8,1205,1091086357.0,1,428
428,8,1197,1091086381.0,1,429
429,8,1197,1091087373.0,1,430
430,8,1116,1091093215.0,1,431
431,8,1197,1091093307.0,1,432
432,7,991,1091093369.0,1,433
433,8,1198,1091093421.0,1,434
434,8,1167,1091093706.0,1,435
435,2,91,1091094591.0,1,436
436,7,972,1091096328.0,1,437
437,2,7,1091097322.0,1,438
438,2,46,1091097441.0,1,439
439,2,394,1091097851.0,1,440
440,2,394,1091097879.0,1,441
441,2,394,1091098038.0,1,442
442,7,1026,1091102974.0,1,443
443,1026,7,1091103766.0,1,444
444,1026,7,1091104091.0,1,445
445,742,4,1091106372.0,1,446
446,8,1134,1091109257.0,1,447
447,220,4,1091110475.0,1,448
448,307,4,1091110551.0,1,449
449,87,7832,1091112222.0,1,450
450,87,91,1091112291.0,1,451
451,137,4,1091113016.0,1,452
452,4,17,1091113099.0,1,453
453,4,151,1091113266.0,1,454
454,4,137,1091113659.0,1,455
455,4,17,1091113850.0,1,456
456,220,4,1091113869.0,1,457
457,1026,7,1091116230.0,1,458
458,1026,7,1091116391.0,1,459
459,7,1026,1091116892.0,1,460
460,8,1136,1091117092.0,1,461
461,17,4,1091117344.0,1,462
462,4,151,1091117413.0,1,463
463,709,4,1091117556.0,1,464
464,4,17,1091117691.0,1,465
465,8,1138,1091117717.0,1,466
466,782,4,1091117971.0,1,467
467,151,4,1091118054.0,1,468
468,740,4,1091119035.0,1,469
469,17,4,1091119200.0,1,470
470,2,394,1091119914.0,1,471
471,2,394,1091119979.0,1,472
472,2,394,1091120059.0,1,473
473,2,394,1091120107.0,1,474
474,1026,7,1091121574.0,1,475
475,4,17,1091122186.0,1,476
476,4,17,1091123050.0,1,477
477,17,4,1091123358.0,1,478
478,4,17,1091124745.0,1,479
479,7,1026,1091125507.0,1,480
480,7,1026,1091125539.0,1,481
481,7,1026,1091125576.0,1,482
482,7,991,1091125609.0,1,483
483,1026,7,1091125665.0,1,484
484,7,1026,1091126792.0,1,485
485,2,394,1091127551.0,1,486
486,2,394,1091127573.0,1,487
487,7293,87,1091127786.0,1,488
488,87,7315,1091129262.0,1,489
489,4,137,1091129511.0,1,490
490,151,4,1091129948.0,1,491
491,4,137,1091132394.0,1,492
492,8,1136,1091132432.0,1,493
493,137,4,1091133021.0,1,494
494,137,4,1091133168.0,1,495
495,2,394,1091136257.0,1,496
496,2,394,1091136352.0,1,497
497,2,394,1091136405.0,1,498
498,2,394,1091137075.0,1,499
499,8,1136,1091137633.0,1,500
500,4,137,1091141060.0,1,501
501,782,4,1091141296.0,1,502
502,4,91,1091141963.0,1,503
503,4,17,1091143858.0,1,504
504,740,4,1091151076.0,1,505
505,87,91,1091158271.0,1,506
506,87,91,1091177584.0,1,507
507,220,4,1091184755.0,1,508
508,2,393,1091185525.0,1,509
509,4,137,1091186367.0,1,510
510,4,768,1091186435.0,1,511
511,2,393,1091186500.0,1,512
512,4,137,1091186502.0,1,513
513,4,164,1091186602.0,1,514
514,7802,87,1091187754.0,1,515
515,87,91,1091188067.0,1,516
516,137,4,1091189361.0,1,517
517,87,91,1091191301.0,1,518
518,87,91,1091194932.0,1,519
519,220,4,1091197652.0,1,520
520,4,164,1091198526.0,1,521
521,796,4,1091202548.0,1,522
522,87,91,1091203711.0,1,523
523,2,394,1091205064.0,1,524
524,2,394,1091205916.0,1,525
525,4,91,1091207620.0,1,526
526,4,151,1091207716.0,1,527
527,8,1210,1091210778.0,1,528
528,2,46,1091210952.0,1,529
529,2,46,1091211026.0,1,530
530,87,91,1091214876.0,1,531
531,8,1210,1091215104.0,1,532
532,367,2,1091215575.0,1,533
533,2,46,1091215820.0,1,534
534,2,367,1091215853.0,1,535
535,1135,8,1091216031.0,1,536
536,8,1197,1091216408.0,1,537
537,87,7835,1091222299.0,1,538
538,87,7815,1091222411.0,1,539
539,87,7815,1091228775.0,1,540
540,7293,87,1091229552.0,1,541
541,7815,87,1091229865.0,1,542
542,8,1135,1091265948.0,1,543
543,2,91,1091269442.0,1,544
544,2,394,1091269575.0,1,545
545,2,394,1091269692.0,1,546
546,87,91,1091271153.0,1,547
547,87,7815,1091281746.0,1,548
548,87,91,1091283466.0,1,549
549,2,394,1091285276.0,1,550
550,357,2,1091285862.0,1,551
551,87,7813,1091288395.0,1,552
552,4,91,1091289104.0,1,553
553,4,732,1091289174.0,1,554
554,2,394,1091290140.0,1,555
555,87,7836,1091292119.0,1,556
556,2,394,1091294619.0,1,557
557,2,394,1091294641.0,1,558
558,2,394,1091294704.0,1,559
559,2,394,1091294758.0,1,560
560,2,357,1091295296.0,1,561
561,2,394,1091302552.0,1,562
562,87,7815,1091303066.0,1,563
563,7815,87,1091303097.0,1,564
564,732,4,1091305269.0,1,565
565,2,91,1091305556.0,1,566
566,2,367,1091305665.0,1,567
567,732,4,1091306934.0,1,568
568,7262,87,1091307255.0,1,569
569,2,316,1091307349.0,1,570
570,87,7815,1091308221.0,1,571
571,87,7815,1091308855.0,1,572
572,367,2,1091309899.0,1,573
573,8,1214,1091316358.0,1,574
574,8,1214,1091316428.0,1,575
575,2,336,1091317278.0,1,576
576,4,758,1091323699.0,1,577
577,732,4,1091326635.0,1,578
578,4,732,1091326713.0,1,579
579,8,1210,1091342803.0,1,580
580,8,137,1091343013.0,1,581
581,2,394,1091355083.0,1,582
582,2,394,1091356324.0,1,583
583,2,394,1091356526.0,1,584
584,2,394,1091356748.0,1,585
585,2,394,1091356828.0,1,586
586,2,256,1091357928.0,1,587
587,2,419,1091358625.0,1,588
588,2,419,1091358861.0,1,589
589,2,419,1091359105.0,1,590
590,2,292,1091359330.0,1,591
591,2,427,1091359573.0,1,592
592,2,394,1091359664.0,1,593
593,2,394,1091359795.0,1,594
594,2,409,1091360062.0,1,595
595,1209,8,1091361631.0,1,596
596,8,1135,1091362599.0,1,597
597,8,1197,1091380043.0,1,598
598,2,394,1091382120.0,1,599
599,2,426,1091384796.0,1,600
600,2,426,1091384904.0,1,601
601,2,409,1091386243.0,1,602
602,2,409,1091386346.0,1,603
603,2,292,1091394385.0,1,604
604,292,2,1091394504.0,1,605
605,87,91,1091395088.0,1,606
606,2,91,1091433509.0,1,607
607,2,91,1091433543.0,1,608
608,2,91,1091436150.0,1,609
609,2,91,1091437185.0,1,610
610,2,91,1091437294.0,1,611
611,2,248,1091437465.0,1,612
612,2,409,1091440929.0,1,613
613,8,1209,1091443263.0,1,614
614,2,294,1091445270.0,1,615
615,2,409,1091465340.0,1,616
616,2,409,1091465442.0,1,617
617,87,91,1091471369.0,1,618
618,87,7268,1091472947.0,1,619
619,87,7811,1091473268.0,1,620
620,87,7268,1091473301.0,1,621
621,87,7268,1091473358.0,1,622
622,87,7315,1091473592.0,1,623
623,87,7268,1091474464.0,1,624
624,7315,87,1091474530.0,1,625
625,87,7293,1091476837.0,1,626
626,87,91,1091477318.0,1,627
627,2,394,1091478519.0,1,628
628,2,409,1091478569.0,1,629
629,2,409,1091478736.0,1,630
630,87,91,1091483354.0,1,631
631,87,91,1091483402.0,1,632
632,2,409,1091483452.0,1,633
633,2,409,1091484906.0,1,634
634,2,409,1091484948.0,1,635
635,2,409,1091485030.0,1,636
636,2,409,1091487328.0,1,637
637,1,168,1091534212.0,1,638
638,1,17,1091546029.0,1,639
639,87,7858,1091546086.0,1,640
640,2,96,1091551197.0,1,641
641,1,102,1091559916.0,1,642
642,102,1,1091559936.0,1,643
643,7315,87,1091570015.0,1,644
644,7315,87,1091570182.0,1,645
645,23,2518,1091572214.0,1,646
646,23,2518,1091572648.0,1,647
647,1,140,1091614799.0,1,648
648,87,7834,1091624078.0,1,649
649,87,91,1091648786.0,1,650
650,87,91,1091648951.0,1,651
651,2,273,1091649956.0,1,652
652,2,413,1091659225.0,1,653
653,2,271,1091706185.0,1,654
654,2,273,1091706328.0,1,655
655,1,168,1091707839.0,1,656
656,1,102,1091723550.0,1,657
657,2,96,1091804363.0,1,658
658,1,102,1091812145.0,1,659
659,2,414,1091814821.0,1,660
660,2,414,1091815266.0,1,661
661,1,209,1091817380.0,1,662
662,1,4,1091820234.0,1,663
663,1,17,1091820598.0,1,664
664,1,4,1091821753.0,1,665
665,1,4,1091823563.0,1,666
666,1,17,1091823683.0,1,667
667,1,17,1091825317.0,1,668
668,1,164,1091825517.0,1,669
669,164,1,1091826485.0,1,670
670,1,164,1091826943.0,1,671
671,1,4,1091827107.0,1,672
672,1,4,1091827131.0,1,673
673,1,17,1091827470.0,1,674
674,1,130,1091827967.0,1,675
675,1,220,1091828494.0,1,676
676,1,164,1091828724.0,1,677
677,1,130,1091828909.0,1,678
678,1,17,1091880869.0,1,679
679,1,168,1091882475.0,1,680
680,2,273,1091890861.0,1,681
681,2,272,1091891013.0,1,682
682,2,272,1091894460.0,1,683
683,2,273,1091894484.0,1,684
684,2,272,1091894755.0,1,685
685,2,273,1091898636.0,1,686
686,1,124,1091901218.0,1,687
687,1,89,1091901368.0,1,688
688,419,2,1091905653.0,1,689
689,1,222,1091911439.0,1,690
690,222,1,1091913158.0,1,691
691,1,222,1091922946.0,1,692
692,1,124,1091923159.0,1,693
693,1,168,1091949658.0,1,694
694,1,168,1091955316.0,1,695
695,2,394,1091957356.0,1,696
696,2,91,1091961569.0,1,697
697,2,394,1091973044.0,1,698
698,2,91,1091983888.0,1,699
699,1,168,1091984778.0,1,700
700,2,91,1091985461.0,1,701
701,2,426,1091985557.0,1,702
702,2,394,1091985617.0,1,703
703,2,367,1091985752.0,1,704
704,2,91,1091988936.0,1,705
705,2,91,1091991773.0,1,706
706,2,91,1091992721.0,1,707
707,1,124,1091995699.0,1,708
708,1,124,1091995770.0,1,709
709,1,99,1091995827.0,1,710
710,1,99,1091996396.0,1,711
711,1,99,1091996483.0,1,712
712,1,111,1091996587.0,1,713
713,1,194,1091996680.0,1,714
714,2,391,1091997336.0,1,715
715,2,391,1091998725.0,1,716
716,2,391,1091998946.0,1,717
717,2,426,1092002419.0,1,718
718,194,1,1092006382.0,1,719
719,2,426,1092010302.0,1,720
720,426,2,1092010345.0,1,721
721,426,2,1092010425.0,1,722
722,2,426,1092010642.0,1,723
723,86,209,1092022074.0,1,724
724,2,247,1092042886.0,1,725
725,2,247,1092042943.0,1,726
726,2,246,1092043123.0,1,727
727,7,962,1092053476.0,1,728
728,962,7,1092053556.0,1,729
729,962,7,1092054485.0,1,730
730,962,7,1092054535.0,1,731
731,7,963,1092054917.0,1,732
732,963,7,1092055045.0,1,733
733,4110,59,1092057879.0,1,734
734,59,4170,1092060968.0,1,735
735,59,4110,1092061026.0,1,736
736,5427,59,1092061968.0,1,737
737,4110,59,1092062604.0,1,738
738,59,5530,1092064035.0,1,739
739,59,5530,1092064106.0,1,740
740,86,7724,1092067205.0,1,741
741,1,130,1092070802.0,1,742
742,1,130,1092070813.0,1,743
743,7709,86,1092071874.0,1,744
744,1,102,1092072230.0,1,745
745,102,1,1092073057.0,1,746
746,59,5530,1092074164.0,1,747
747,2,91,1092074338.0,1,748
748,2,394,1092074515.0,1,749
749,59,4110,1092075768.0,1,750
750,59,4112,1092082876.0,1,751
751,59,5412,1092083916.0,1,752
752,59,5412,1092083998.0,1,753
753,2,394,1092091662.0,1,754
754,2,394,1092093084.0,1,755
755,963,7,1092118898.0,1,756
756,4170,59,1092124142.0,1,757
757,5427,59,1092125395.0,1,758
758,59,4112,1092125983.0,1,759
759,59,4170,1092130920.0,1,760
760,59,5515,1092132963.0,1,761
761,59,5457,1092133382.0,1,762
762,4170,59,1092133464.0,1,763
763,59,5593,1092134059.0,1,764
764,2,408,1092135311.0,1,765
765,2,418,1092135480.0,1,766
766,2,394,1092135843.0,1,767
767,2,367,1092136138.0,1,768
768,1,168,1092138478.0,1,769
769,2,91,1092138480.0,1,770
770,962,7,1092139732.0,1,771
771,962,7,1092140459.0,1,772
772,59,5533,1092147498.0,1,773
773,59,5484,1092148312.0,1,774
774,5427,59,1092150830.0,1,775
775,59,5427,1092152384.0,1,776
776,5427,59,1092152416.0,1,777
777,59,5437,1092152950.0,1,778
778,59,5424,1092153486.0,1,779
779,2,410,1092153630.0,1,780
780,2,375,1092154589.0,1,781
781,2,382,1092155236.0,1,782
782,2,380,1092155342.0,1,783
783,2,260,1092155413.0,1,784
784,2,349,1092156043.0,1,785
785,59,5594,1092156573.0,1,786
786,2,367,1092157647.0,1,787
787,59,5585,1092157692.0,1,788
788,2,394,1092157710.0,1,789
789,2,295,1092157903.0,1,790
790,59,5427,1092157996.0,1,791
791,59,5404,1092158441.0,1,792
792,59,4170,1092158519.0,1,793
793,2,418,1092158654.0,1,794
794,59,3732,1092158654.0,1,795
795,2,408,1092158715.0,1,796
796,59,5413,1092158819.0,1,797
797,2,394,1092159099.0,1,798
798,59,5422,1092159496.0,1,799
799,2,394,1092159707.0,1,800
800,59,5409,1092159954.0,1,801
